IT_NO ID DIVIDENDS_PAID DIVIDENDS_TO_BE_PAID
1381 16 107.481779 107.481779
1381 29 125.457683 125.457683
1381 15 133.893216 133.893216
1381 17 0.000000 0.000000
1381 18 0.000000 0.000000
1381 10 0.000000 0.000000
1381 20 0.000000 0.000000
1441 8 117.820864 117.820864
1441 24 109.141832 109.141832
1441 10 159.559724 159.559724
1441 14 36.596551 36.596551
1441 28 172.036719 172.036719
1441 13 166.335664 166.335664
1441 12 55.742029 55.742029
1441 26 144.689195 144.689195
1441 17 153.852526 153.852526
1441 18 167.725289 167.725289
1441 11 37.632116 37.632116
1441 19 34.443222 34.443222
1441 27 40.038728 40.038728
1441 30 41.091261 41.091261
1441 7 26.972947 26.972947
1441 25 32.442892 32.442892
1441 15 50.457220 50.457220
1441 21 140.326469 140.326469
1441 23 52.485587 52.485587
1441 9 159.191300 159.191300
1441 16 110.835234 110.835234
1441 29 70.536040 70.536040
1441 22 120.399362 120.399362
1441 20 205.441663 205.441663
1501 13 54.132322 54.132322
1501 16 8.254939 8.254939
1501 9 32.739944 32.739944
1501 23 17.175696 17.175696
1501 15 30.338601 30.338601
1501 25 22.884620 22.884620
1501 30 11.540431 11.540431
1501 27 46.797283 46.797283
1501 26 36.480316 36.480316
1501 24 23.551009 23.551009
1501 14 31.918764 31.918764
1501 17 8.582798 8.582798
1501 19 17.977365 17.977365
1501 7 9.934001 9.934001
1501 21 29.187013 29.187013
1501 29 14.111457 14.111457
1501 18 50.880608 50.880608
1501 8 27.109673 27.109673
1501 28 51.724174 51.724174
1501 12 40.992937 40.992937
1501 11 35.897534 35.897534
1501 22 30.909651 30.909651
1501 20 24.578488 24.578488
1501 10 58.601689 58.601689
1561 29 74.549559 74.549559
1561 19 29.427516 29.427516
1561 23 95.748469 95.748469
1561 15 80.640974 80.640974
1561 21 49.363048 49.363048
1561 22 64.142135 64.142135
1561 18 90.621305 90.621305
1561 25 59.298517 59.298517
1561 16 134.228164 134.228164
1561 30 83.951058 83.951058
1561 17 129.361768 129.361768
1561 7 78.728069 78.728069
1561 20 65.332704 65.332704
1561 12 11.211219 11.211219
1561 28 75.209059 75.209059
1561 8 77.119412 77.119412
1561 9 27.045453 27.045453
1561 13 60.686885 60.686885
1561 26 30.057730 30.057730
1561 14 97.779302 97.779302
1561 24 105.396481 105.396481
1561 27 0.000000 0.000000
1561 10 0.000000 0.000000
1561 11 0.000000 0.000000
1621 20 128.674790 128.674790
1621 9 120.230613 120.230613
1621 7 124.109006 124.109006
1621 16 35.637958 35.637958
1621 10 158.128976 158.128976
1621 25 108.959414 108.959414
1621 12 131.275889 131.275889
1621 26 114.732619 114.732619
1621 24 20.242003 20.242003
1621 13 56.750242 56.750242
1621 8 22.007113 22.007113
1621 17 53.498069 53.498069
1621 30 73.895821 73.895821
1621 18 43.410769 43.410769
1621 21 40.125824 40.125824
1621 23 37.846417 37.846417
1621 22 47.324799 47.324799
1621 15 54.686406 54.686406
1621 14 27.706872 27.706872
1621 11 162.212806 162.212806
1621 28 24.597670 24.597670
1621 19 150.279433 150.279433
1621 27 183.262349 183.262349
1621 29 106.822441 106.822441
1681 27 61.066002 61.066002
1681 19 31.724469 31.724469
1681 30 40.659000 40.659000
1681 13 35.544774 35.544774
1681 26 35.477391 35.477391
1681 12 39.375423 39.375423
1681 9 29.676320 29.676320
1681 20 25.879956 25.879956
1681 7 27.734343 27.734343
1681 17 44.805354 44.805354
1681 15 38.806801 38.806801
1681 14 36.474541 36.474541
1681 28 35.650386 35.650386
1681 29 25.888491 25.888491
1681 10 51.504387 51.504387
1681 25 51.659161 51.659161
1681 11 57.857790 57.857790
1681 23 44.611911 44.611911
1681 21 46.921705 46.921705
1681 18 34.482318 34.482318
1681 16 34.699393 34.699393
1681 24 36.669584 36.669584
1681 8 38.557238 38.557238
1681 22 40.644647 40.644647
1741 15 93.230902 93.230902
1741 17 22.872224 22.872224
1741 16 70.281486 70.281486
1741 24 65.400841 65.400841
1741 22 73.531124 73.531124
1741 27 39.919609 39.919609
1741 30 70.889874 70.889874
1741 28 70.918977 70.918977
1741 18 57.569437 57.569437
1741 11 38.638454 38.638454
1741 25 32.604026 32.604026
1741 29 35.266809 35.266809
1741 9 39.344796 39.344796
1741 20 35.258274 35.258274
1741 23 16.819555 16.819555
1741 19 59.465334 59.465334
1741 7 37.257740 37.257740
1741 10 32.449251 32.449251
1741 14 35.916863 35.916863
1741 12 60.247868 60.247868
1741 13 63.505408 63.505408
1741 21 20.297210 20.297210
1741 8 46.899237 46.899237
1741 26 50.986201 50.986201
1801 27 115.311662 115.311662
1801 17 133.465452 133.465452
1801 23 100.054079 100.054079
1801 26 20.587284 20.587284
1801 7 43.895893 43.895893
1801 30 29.011808 29.011808
1801 22 13.135253 13.135253
1801 24 35.283232 35.283232
1801 16 33.152045 33.152045
1801 18 32.828357 32.828357
1801 11 14.095470 14.095470
1801 10 19.699134 19.699134
1801 28 43.625630 43.625630
1801 15 31.107426 31.107426
1801 21 140.865362 140.865362
1801 12 13.175853 13.175853
1801 20 41.875435 41.875435
1801 9 17.198589 17.198589
1801 25 41.406041 41.406041
1801 29 35.456197 35.456197
1801 13 45.613669 45.613669
1801 14 58.199818 58.199818
1801 8 108.449937 108.449937
1801 19 0.000000 0.000000
1861 9 121.598059 121.598059
1861 20 79.191719 79.191719
1861 25 108.114891 108.114891
1861 15 72.835861 72.835861
1861 23 22.750712 22.750712
1861 13 70.841893 70.841893
1861 12 146.253054 146.253054
1861 26 168.562927 168.562927
1861 18 101.365100 101.365100
1861 16 75.573356 75.573356
1861 19 129.730705 129.730705
1861 10 106.735899 106.735899
1861 30 120.490702 120.490702
1861 22 103.296015 103.296015
1861 29 71.742579 71.742579
1861 27 36.368032 36.368032
1861 17 75.156318 75.156318
1861 8 36.426983 36.426983
1861 14 114.819846 114.819846
1861 11 164.818574 164.818574
1861 7 108.072146 108.072146
1861 28 49.255471 49.255471
1861 21 93.301391 93.301391
1861 24 129.561405 129.561405
1921 23 131.036151 131.036151
1921 24 38.357551 38.357551
1921 26 40.815711 40.815711
1921 7 34.083516 34.083516
1921 30 42.670193 42.670193
1921 19 42.720491 42.720491
1921 18 40.462236 40.462236
1921 12 60.522559 60.522559
1921 13 74.621415 74.621415
1921 9 54.933948 54.933948
1921 20 9.054310 9.054310
1921 22 52.571117 52.571117
1921 29 35.025818 35.025818
1921 27 41.341762 41.341762
